Logdir logdir\ndnf_dreamer_demo_anneal_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[0] episode/eval_score 0.0 / episode/eval_length 360.0
[17589] episode/score 1.0 / episode/length 12.0
[17609] episode/score 0.9 / episode/length 20.0
[17621] episode/score 1.0 / episode/length 12.0
[17636] episode/score 1.0 / episode/length 15.0
[17657] episode/score 0.9 / episode/length 21.0
[17667] episode/score 1.0 / episode/length 10.0
[17679] episode/score 1.0 / episode/length 12.0
[17694] episode/score 1.0 / episode/length 15.0
[17715] episode/score 0.9 / episode/length 21.0
[17738] episode/score 0.9 / episode/length 23.0
[17750] episode/score 1.0 / episode/length 12.0
[17768] episode/score 1.0 / episode/length 18.0
[17781] episode/score 1.0 / episode/length 13.0
[17807] episode/score 0.9 / episode/length 26.0
[17830] episode/score 0.9 / episode/length 23.0
[17839] episode/score 1.0 / episode/length 9.0
[17848] episode/score 1.0 / episode/length 9.0
[17864] episode/score 1.0 / episode/length 16.0
[17876] episode/score 1.0 / episode/length 12.0
[17892] episode/score 1.0 / episode/length 16.0
[17908] episode/score 1.0 / episode/length 16.0
[17932] episode/score 0.9 / episode/length 24.0
[17956] episode/score 0.9 / episode/length 24.0
[17976] episode/score 0.9 / episode/length 20.0
[17990] episode/score 1.0 / episode/length 14.0
[18002] episode/score 1.0 / episode/length 12.0
[18022] episode/score 0.9 / episode/length 20.0
[18033] episode/score 1.0 / episode/length 11.0
[18044] episode/score 1.0 / episode/length 11.0
[18065] episode/score 0.9 / episode/length 21.0
[18075] episode/score 1.0 / episode/length 10.0
[18086] episode/score 1.0 / episode/length 11.0
[18105] episode/score 1.0 / episode/length 19.0
[18122] episode/score 1.0 / episode/length 17.0
[18140] episode/score 1.0 / episode/length 18.0
[18162] episode/score 0.9 / episode/length 22.0
[18181] episode/score 1.0 / episode/length 19.0
[18197] episode/score 1.0 / episode/length 16.0
[18211] episode/score 1.0 / episode/length 14.0
[18229] episode/score 1.0 / episode/length 18.0
[18242] episode/score 1.0 / episode/length 13.0
[18259] episode/score 1.0 / episode/length 17.0
[18278] episode/score 1.0 / episode/length 19.0
[18293] episode/score 1.0 / episode/length 15.0
[18311] episode/score 1.0 / episode/length 18.0
[18325] episode/score 1.0 / episode/length 14.0
[18337] episode/score 1.0 / episode/length 12.0
[18358] episode/score 0.9 / episode/length 21.0
[18374] episode/score 1.0 / episode/length 16.0
[18389] episode/score 1.0 / episode/length 15.0
[18407] episode/score 1.0 / episode/length 18.0
[18432] episode/score 0.9 / episode/length 25.0
[18448] episode/score 1.0 / episode/length 16.0
[18470] episode/score 0.9 / episode/length 22.0
[18480] episode/score 1.0 / episode/length 10.0
[18492] episode/score 1.0 / episode/length 12.0
[18506] episode/score 1.0 / episode/length 14.0
[18531] episode/score 0.9 / episode/length 25.0
[18544] episode/score 1.0 / episode/length 13.0
[18559] episode/score 1.0 / episode/length 15.0
[18580] episode/score 0.9 / episode/length 21.0
[18590] episode/score 1.0 / episode/length 10.0
[18608] episode/score 1.0 / episode/length 18.0
[18630] episode/score 0.9 / episode/length 22.0
[18640] episode/score 1.0 / episode/length 10.0
[18653] episode/score 1.0 / episode/length 13.0
[18667] episode/score 1.0 / episode/length 14.0
[18693] episode/score 0.9 / episode/length 26.0
[18713] episode/score 0.9 / episode/length 20.0
[18736] episode/score 0.9 / episode/length 23.0
[18752] episode/score 1.0 / episode/length 16.0
[18768] episode/score 1.0 / episode/length 16.0
[18782] episode/score 1.0 / episode/length 14.0
[18797] episode/score 1.0 / episode/length 15.0
[18815] episode/score 1.0 / episode/length 18.0
[18833] episode/score 1.0 / episode/length 18.0
[18842] episode/score 1.0 / episode/length 9.0
[18856] episode/score 1.0 / episode/length 14.0
[18872] episode/score 1.0 / episode/length 16.0
[18885] episode/score 1.0 / episode/length 13.0
[18905] episode/score 0.9 / episode/length 20.0
[18921] episode/score 1.0 / episode/length 16.0
[18940] episode/score 1.0 / episode/length 19.0
[18953] episode/score 1.0 / episode/length 13.0
[18970] episode/score 1.0 / episode/length 17.0
[18986] episode/score 1.0 / episode/length 16.0
[18998] episode/score 1.0 / episode/length 12.0
[19013] episode/score 1.0 / episode/length 15.0
[19026] episode/score 1.0 / episode/length 13.0
[19053] episode/score 0.9 / episode/length 27.0
[19066] episode/score 1.0 / episode/length 13.0
[19083] episode/score 1.0 / episode/length 17.0
[19095] episode/score 1.0 / episode/length 12.0
[19111] episode/score 1.0 / episode/length 16.0
[19128] episode/score 1.0 / episode/length 17.0
[19139] episode/score 1.0 / episode/length 11.0
[19155] episode/score 1.0 / episode/length 16.0
[19164] episode/score 1.0 / episode/length 9.0
[19183] episode/score 1.0 / episode/length 19.0
[19202] episode/score 1.0 / episode/length 19.0
[19221] episode/score 1.0 / episode/length 19.0
[19230] episode/score 1.0 / episode/length 9.0
[19244] episode/score 1.0 / episode/length 14.0
[19260] episode/score 1.0 / episode/length 16.0
[19275] episode/score 1.0 / episode/length 15.0
[19292] episode/score 1.0 / episode/length 17.0
[19304] episode/score 1.0 / episode/length 12.0
[19318] episode/score 1.0 / episode/length 14.0
[19337] episode/score 1.0 / episode/length 19.0
[19353] episode/score 1.0 / episode/length 16.0
[19370] episode/score 1.0 / episode/length 17.0
[19387] episode/score 1.0 / episode/length 17.0
[19401] episode/score 1.0 / episode/length 14.0
[19420] episode/score 1.0 / episode/length 19.0
[19435] episode/score 1.0 / episode/length 15.0
[19447] episode/score 1.0 / episode/length 12.0
[19466] episode/score 1.0 / episode/length 19.0
[19479] episode/score 1.0 / episode/length 13.0
[19496] episode/score 1.0 / episode/length 17.0
[19507] episode/score 1.0 / episode/length 11.0
[19523] episode/score 1.0 / episode/length 16.0
[19537] episode/score 1.0 / episode/length 14.0
[19559] episode/score 0.9 / episode/length 22.0
[19577] episode/score 1.0 / episode/length 18.0
[19597] episode/score 0.9 / episode/length 20.0
[19612] episode/score 1.0 / episode/length 15.0
[19626] episode/score 1.0 / episode/length 14.0
[19635] episode/score 1.0 / episode/length 9.0
[19655] episode/score 0.9 / episode/length 20.0
[19666] episode/score 1.0 / episode/length 11.0
[19686] episode/score 0.9 / episode/length 20.0
[19701] episode/score 1.0 / episode/length 15.0
[19722] episode/score 0.9 / episode/length 21.0
[19736] episode/score 1.0 / episode/length 14.0
[19749] episode/score 1.0 / episode/length 13.0
[19765] episode/score 1.0 / episode/length 16.0
[19782] episode/score 1.0 / episode/length 17.0
[19795] episode/score 1.0 / episode/length 13.0
[19811] episode/score 1.0 / episode/length 16.0
[19830] episode/score 1.0 / episode/length 19.0
[19847] episode/score 1.0 / episode/length 17.0
[19862] episode/score 1.0 / episode/length 15.0
[19874] episode/score 1.0 / episode/length 12.0
[19892] episode/score 1.0 / episode/length 18.0
[19904] episode/score 1.0 / episode/length 12.0
[19917] episode/score 1.0 / episode/length 13.0
[19936] episode/score 1.0 / episode/length 19.0
[19950] episode/score 1.0 / episode/length 14.0
[19968] episode/score 1.0 / episode/length 18.0
[19988] episode/score 0.9 / episode/length 20.0
Evaluating the policy...
[20000] episode/eval_score 0.0 / episode/eval_length 360.0
[20066] train/ndnf_delta 0.1 / train/dyn_entropy 9.3 / train/rep_entropy 10.1 / train/act_entropy_coef 0.0 / train/ret 0.2 / train/ret_005 0.2 / train/ret_095 0.3 / train/adv 0.1 / train/adv_std 0.0 / train/con 0.9 / train/rew 0.1 / train/val 0.3 / train/tar 0.4 / train/slowval 0.2 / train/weight 0.3 / train/action_entropy 0.2 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.7 / train/ret_replay_std 0.2 / train/ret_replay_min 0.4 / train/ret_replay_max 1.0 / train/value_replay_mean 0.3 / train/value_replay_std 0.0 / train/value_replay_min 0.3 / train/value_replay_max 0.3 / train/slow_value_replay_mean 0.2 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.2 / train/slow_value_replay_max 0.2 / train/loss/dyn 1.2 / train/loss/rep 1.2 / train/loss/ground 0.7 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 1.5 / train/loss/rew 1.7 / train/loss/con 0.3 / train/loss/policy 0.0 / train/loss/value 1.1 / train/loss/repval 3.3 / train/opt/loss 7.5 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 625.0 / fps/fps 46.2
[20348] episode/score 0.0 / episode/length 360.0
[20708] episode/score 0.0 / episode/length 360.0
[21068] episode/score 0.0 / episode/length 360.0
[21428] episode/score 0.0 / episode/length 360.0
[21788] episode/score 0.0 / episode/length 360.0
[22148] episode/score 0.0 / episode/length 360.0
[22508] episode/score 0.0 / episode/length 360.0
[22868] episode/score 0.0 / episode/length 360.0
[23228] episode/score 0.0 / episode/length 360.0
[23588] episode/score 0.0 / episode/length 360.0
[23948] episode/score 0.0 / episode/length 360.0
[24308] episode/score 0.0 / episode/length 360.0
[24668] episode/score 0.0 / episode/length 360.0
[25028] episode/score 0.0 / episode/length 360.0
[25066] train/ndnf_delta 0.1 / train/dyn_entropy 9.4 / train/rep_entropy 9.9 / train/act_entropy_coef 0.0 / train/ret 0.1 / train/ret_005 0.3 / train/ret_095 0.4 / train/adv 0.1 / train/adv_std 0.0 / train/con 0.9 / train/rew 0.0 / train/val 0.4 / train/tar 0.5 / train/slowval 0.4 / train/weight 0.5 / train/action_entropy 0.1 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.7 / train/ret_replay_std 0.2 / train/ret_replay_min 0.5 / train/ret_replay_max 1.0 / train/value_replay_mean 0.4 / train/value_replay_std 0.0 / train/value_replay_min 0.4 / train/value_replay_max 0.4 / train/slow_value_replay_mean 0.4 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.4 / train/slow_value_replay_max 0.4 / train/loss/dyn 1.1 / train/loss/rep 1.1 / train/loss/ground 0.6 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 1.3 / train/loss/rew 0.4 / train/loss/con 0.2 / train/loss/policy 0.0 / train/loss/value 0.9 / train/loss/repval 2.5 / train/opt/loss 5.4 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 782.0 / fps/fps 48.0
[25388] episode/score 0.0 / episode/length 360.0
[25748] episode/score 0.0 / episode/length 360.0
[26108] episode/score 0.0 / episode/length 360.0
[26468] episode/score 0.0 / episode/length 360.0
[26828] episode/score 0.0 / episode/length 360.0
[27188] episode/score 0.0 / episode/length 360.0
[27548] episode/score 0.0 / episode/length 360.0
[27908] episode/score 0.0 / episode/length 360.0
[28268] episode/score 0.0 / episode/length 360.0
[28628] episode/score 0.0 / episode/length 360.0
[28988] episode/score 0.0 / episode/length 360.0
[29348] episode/score 0.0 / episode/length 360.0
[29708] episode/score 0.0 / episode/length 360.0
Evaluating the policy...
[30000] episode/eval_score 0.0 / episode/eval_length 360.0
[30066] train/ndnf_delta 0.1 / train/dyn_entropy 9.4 / train/rep_entropy 9.6 / train/act_entropy_coef 0.0 / train/ret 0.1 / train/ret_005 0.5 / train/ret_095 0.6 / train/adv 0.0 / train/adv_std 0.0 / train/con 0.9 / train/rew 0.0 / train/val 0.6 / train/tar 0.6 / train/slowval 0.5 / train/weight 0.6 / train/action_entropy 0.1 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.7 / train/ret_replay_std 0.1 / train/ret_replay_min 0.6 / train/ret_replay_max 1.0 / train/value_replay_mean 0.6 / train/value_replay_std 0.0 / train/value_replay_min 0.6 / train/value_replay_max 0.6 / train/slow_value_replay_mean 0.5 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.5 / train/slow_value_replay_max 0.5 / train/loss/dyn 1.1 / train/loss/rep 1.1 / train/loss/ground 0.6 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 1.2 / train/loss/rew 0.2 / train/loss/con 0.1 / train/loss/policy 0.0 / train/loss/value 0.8 / train/loss/repval 2.0 / train/opt/loss 4.8 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 938.0 / fps/fps 47.6
[30068] episode/score 0.0 / episode/length 360.0
[30428] episode/score 0.0 / episode/length 360.0
[30788] episode/score 0.0 / episode/length 360.0
[31148] episode/score 0.0 / episode/length 360.0
[31508] episode/score 0.0 / episode/length 360.0
[31868] episode/score 0.0 / episode/length 360.0
[32228] episode/score 0.0 / episode/length 360.0
[32588] episode/score 0.0 / episode/length 360.0
[32948] episode/score 0.0 / episode/length 360.0
[33308] episode/score 0.0 / episode/length 360.0
[33668] episode/score 0.0 / episode/length 360.0
[34028] episode/score 0.0 / episode/length 360.0
[34388] episode/score 0.0 / episode/length 360.0
[34748] episode/score 0.0 / episode/length 360.0
[35066] train/ndnf_delta 0.1 / train/dyn_entropy 9.4 / train/rep_entropy 9.1 / train/act_entropy_coef 0.0 / train/ret 0.1 / train/ret_005 0.6 / train/ret_095 0.7 / train/adv 0.0 / train/adv_std 0.0 / train/con 1.0 / train/rew 0.0 / train/val 0.7 / train/tar 0.7 / train/slowval 0.6 / train/weight 0.7 / train/action_entropy 0.1 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.7 / train/ret_replay_std 0.1 / train/ret_replay_min 0.6 / train/ret_replay_max 1.0 / train/value_replay_mean 0.7 / train/value_replay_std 0.0 / train/value_replay_min 0.7 / train/value_replay_max 0.7 / train/slow_value_replay_mean 0.6 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.6 / train/slow_value_replay_max 0.6 / train/loss/dyn 1.1 / train/loss/rep 1.1 / train/loss/ground 0.6 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 1.0 / train/loss/rew 0.1 / train/loss/con 0.1 / train/loss/policy 0.0 / train/loss/value 0.7 / train/loss/repval 1.2 / train/opt/loss 4.1 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 1094.0 / fps/fps 42.9
[35108] episode/score 0.0 / episode/length 360.0
[35468] episode/score 0.0 / episode/length 360.0
[35828] episode/score 0.0 / episode/length 360.0
[36188] episode/score 0.0 / episode/length 360.0
[36548] episode/score 0.0 / episode/length 360.0
[36908] episode/score 0.0 / episode/length 360.0
[37268] episode/score 0.0 / episode/length 360.0
[37628] episode/score 0.0 / episode/length 360.0
[37988] episode/score 0.0 / episode/length 360.0
[38348] episode/score 0.0 / episode/length 360.0
[38708] episode/score 0.0 / episode/length 360.0
[39068] episode/score 0.0 / episode/length 360.0
[39428] episode/score 0.0 / episode/length 360.0
[39788] episode/score 0.0 / episode/length 360.0
Evaluating the policy...
[40000] episode/eval_score 0.0 / episode/eval_length 360.0
[40066] train/ndnf_delta 0.1 / train/dyn_entropy 9.3 / train/rep_entropy 8.6 / train/act_entropy_coef 0.0 / train/ret 0.1 / train/ret_005 0.7 / train/ret_095 0.7 / train/adv 0.0 / train/adv_std 0.0 / train/con 1.0 / train/rew 0.0 / train/val 0.7 / train/tar 0.7 / train/slowval 0.7 / train/weight 0.7 / train/action_entropy 0.1 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.8 / train/ret_replay_std 0.1 / train/ret_replay_min 0.7 / train/ret_replay_max 1.0 / train/value_replay_mean 0.7 / train/value_replay_std 0.0 / train/value_replay_min 0.7 / train/value_replay_max 0.7 / train/slow_value_replay_mean 0.7 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.7 / train/slow_value_replay_max 0.7 / train/loss/dyn 1.1 / train/loss/rep 1.1 / train/loss/ground 0.5 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 1.2 / train/loss/rew 0.2 / train/loss/con 0.2 / train/loss/policy 0.0 / train/loss/value 1.0 / train/loss/repval 1.6 / train/opt/loss 4.7 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 1250.0 / fps/fps 41.8
[40148] episode/score 0.0 / episode/length 360.0
[40508] episode/score 0.0 / episode/length 360.0
[40868] episode/score 0.0 / episode/length 360.0
[41228] episode/score 0.0 / episode/length 360.0
[41588] episode/score 0.0 / episode/length 360.0
[41948] episode/score 0.0 / episode/length 360.0
[42308] episode/score 0.0 / episode/length 360.0
[42668] episode/score 0.0 / episode/length 360.0
[43028] episode/score 0.0 / episode/length 360.0
[43388] episode/score 0.0 / episode/length 360.0
[43748] episode/score 0.0 / episode/length 360.0
[44108] episode/score 0.0 / episode/length 360.0
[44468] episode/score 0.0 / episode/length 360.0
[44828] episode/score 0.0 / episode/length 360.0
[45066] train/ndnf_delta 0.1 / train/dyn_entropy 9.1 / train/rep_entropy 8.1 / train/act_entropy_coef 0.0 / train/ret 0.0 / train/ret_005 0.7 / train/ret_095 0.8 / train/adv 0.0 / train/adv_std 0.0 / train/con 1.0 / train/rew 0.0 / train/val 0.8 / train/tar 0.8 / train/slowval 0.7 / train/weight 0.7 / train/action_entropy 1.1 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.8 / train/ret_replay_std 0.1 / train/ret_replay_min 0.7 / train/ret_replay_max 1.0 / train/value_replay_mean 0.8 / train/value_replay_std 0.0 / train/value_replay_min 0.7 / train/value_replay_max 0.8 / train/slow_value_replay_mean 0.7 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.7 / train/slow_value_replay_max 0.8 / train/loss/dyn 1.1 / train/loss/rep 1.1 / train/loss/ground 0.5 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 1.0 / train/loss/rew 0.2 / train/loss/con 0.1 / train/loss/policy 0.0 / train/loss/value 1.1 / train/loss/repval 1.5 / train/opt/loss 4.5 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 1407.0 / fps/fps 49.8
[45188] episode/score 0.0 / episode/length 360.0
[45548] episode/score 0.0 / episode/length 360.0
[45908] episode/score 0.0 / episode/length 360.0
[46268] episode/score 0.0 / episode/length 360.0
[46628] episode/score 0.0 / episode/length 360.0
[46988] episode/score 0.0 / episode/length 360.0
[47348] episode/score 0.0 / episode/length 360.0
[47516] episode/score 0.6 / episode/length 168.0
[47876] episode/score 0.0 / episode/length 360.0
[48236] episode/score 0.0 / episode/length 360.0
[48582] episode/score 0.1 / episode/length 346.0
[48942] episode/score 0.0 / episode/length 360.0
[49302] episode/score 0.0 / episode/length 360.0
[49662] episode/score 0.0 / episode/length 360.0
Evaluating the policy...
[50000] episode/eval_score 0.0 / episode/eval_length 360.0
[50022] episode/score 0.0 / episode/length 360.0
[50066] train/ndnf_delta 0.1 / train/dyn_entropy 8.9 / train/rep_entropy 7.9 / train/act_entropy_coef 0.0 / train/ret 0.0 / train/ret_005 0.8 / train/ret_095 0.8 / train/adv 0.0 / train/adv_std 0.0 / train/con 1.0 / train/rew 0.0 / train/val 0.8 / train/tar 0.8 / train/slowval 0.8 / train/weight 0.8 / train/action_entropy 0.8 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.8 / train/ret_replay_std 0.1 / train/ret_replay_min 0.7 / train/ret_replay_max 1.0 / train/value_replay_mean 0.8 / train/value_replay_std 0.0 / train/value_replay_min 0.8 / train/value_replay_max 0.8 / train/slow_value_replay_mean 0.8 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.8 / train/slow_value_replay_max 0.8 / train/loss/dyn 1.1 / train/loss/rep 1.1 / train/loss/ground 0.4 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 1.1 / train/loss/rew 0.1 / train/loss/con 0.1 / train/loss/policy 0.0 / train/loss/value 1.0 / train/loss/repval 1.4 / train/opt/loss 4.4 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 1563.0 / fps/fps 48.7
[50382] episode/score 0.0 / episode/length 360.0
[50742] episode/score 0.0 / episode/length 360.0
[51102] episode/score 0.0 / episode/length 360.0
[51462] episode/score 0.0 / episode/length 360.0
[51822] episode/score 0.0 / episode/length 360.0
[52182] episode/score 0.0 / episode/length 360.0
[52542] episode/score 0.0 / episode/length 360.0
[52902] episode/score 0.0 / episode/length 360.0
[53262] episode/score 0.0 / episode/length 360.0
[53622] episode/score 0.0 / episode/length 360.0
[53982] episode/score 0.0 / episode/length 360.0
[54342] episode/score 0.0 / episode/length 360.0
[54702] episode/score 0.0 / episode/length 360.0
[55062] episode/score 0.0 / episode/length 360.0
[55066] train/ndnf_delta 0.1 / train/dyn_entropy 9.0 / train/rep_entropy 7.7 / train/act_entropy_coef 0.0 / train/ret 0.0 / train/ret_005 0.8 / train/ret_095 0.8 / train/adv 0.0 / train/adv_std 0.0 / train/con 1.0 / train/rew 0.0 / train/val 0.8 / train/tar 0.8 / train/slowval 0.8 / train/weight 0.8 / train/action_entropy 0.5 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.8 / train/ret_replay_std 0.1 / train/ret_replay_min 0.7 / train/ret_replay_max 1.0 / train/value_replay_mean 0.8 / train/value_replay_std 0.0 / train/value_replay_min 0.8 / train/value_replay_max 0.8 / train/slow_value_replay_mean 0.8 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.8 / train/slow_value_replay_max 0.8 / train/loss/dyn 1.3 / train/loss/rep 1.3 / train/loss/ground 0.4 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 0.9 / train/loss/rew 0.1 / train/loss/con 0.1 / train/loss/policy 0.0 / train/loss/value 1.0 / train/loss/repval 1.3 / train/opt/loss 4.3 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 1719.0 / fps/fps 48.7
[55422] episode/score 0.0 / episode/length 360.0
[55782] episode/score 0.0 / episode/length 360.0
[56142] episode/score 0.0 / episode/length 360.0
[56502] episode/score 0.0 / episode/length 360.0
[56862] episode/score 0.0 / episode/length 360.0
[57222] episode/score 0.0 / episode/length 360.0
[57582] episode/score 0.0 / episode/length 360.0
[57942] episode/score 0.0 / episode/length 360.0
[58302] episode/score 0.0 / episode/length 360.0
[58662] episode/score 0.0 / episode/length 360.0
[59022] episode/score 0.0 / episode/length 360.0
[59382] episode/score 0.0 / episode/length 360.0
[59742] episode/score 0.0 / episode/length 360.0
Evaluating the policy...
[60000] episode/eval_score 0.0 / episode/eval_length 360.0
[60066] train/ndnf_delta 0.1 / train/dyn_entropy 9.2 / train/rep_entropy 7.1 / train/act_entropy_coef 0.0 / train/ret -0.0 / train/ret_005 0.7 / train/ret_095 0.8 / train/adv -0.0 / train/adv_std 0.0 / train/con 1.0 / train/rew 0.0 / train/val 0.7 / train/tar 0.7 / train/slowval 0.7 / train/weight 0.8 / train/action_entropy 0.6 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.7 / train/ret_replay_std 0.1 / train/ret_replay_min 0.6 / train/ret_replay_max 1.0 / train/value_replay_mean 0.7 / train/value_replay_std 0.0 / train/value_replay_min 0.7 / train/value_replay_max 0.8 / train/slow_value_replay_mean 0.7 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.7 / train/slow_value_replay_max 0.8 / train/loss/dyn 2.0 / train/loss/rep 2.0 / train/loss/ground 0.7 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 0.9 / train/loss/rew 0.2 / train/loss/con 0.1 / train/loss/policy -0.0 / train/loss/value 1.1 / train/loss/repval 1.4 / train/opt/loss 5.6 / train/opt/lr 0.0 / train/opt/grad_scale 8192.0 / train/opt/updates 1875.0 / fps/fps 44.8
[60102] episode/score 0.0 / episode/length 360.0
[60462] episode/score 0.0 / episode/length 360.0
[60822] episode/score 0.0 / episode/length 360.0
[61182] episode/score 0.0 / episode/length 360.0
[61542] episode/score 0.0 / episode/length 360.0
[61902] episode/score 0.0 / episode/length 360.0
[62262] episode/score 0.0 / episode/length 360.0
[62622] episode/score 0.0 / episode/length 360.0
[62982] episode/score 0.0 / episode/length 360.0
[63342] episode/score 0.0 / episode/length 360.0
[63702] episode/score 0.0 / episode/length 360.0
[64062] episode/score 0.0 / episode/length 360.0
[64422] episode/score 0.0 / episode/length 360.0
[64782] episode/score 0.0 / episode/length 360.0
[65066] train/ndnf_delta 0.1 / train/dyn_entropy 8.4 / train/rep_entropy 6.5 / train/act_entropy_coef 0.0 / train/ret -0.0 / train/ret_005 0.6 / train/ret_095 0.7 / train/adv -0.0 / train/adv_std 0.0 / train/con 1.0 / train/rew 0.0 / train/val 0.6 / train/tar 0.6 / train/slowval 0.7 / train/weight 0.8 / train/action_entropy 0.4 / train/action_mean 0.2 / train/action_std 0.4 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.7 / train/ret_replay_std 0.1 / train/ret_replay_min 0.6 / train/ret_replay_max 1.0 / train/value_replay_mean 0.7 / train/value_replay_std 0.0 / train/value_replay_min 0.6 / train/value_replay_max 0.8 / train/slow_value_replay_mean 0.7 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.6 / train/slow_value_replay_max 0.7 / train/loss/dyn 1.6 / train/loss/rep 1.6 / train/loss/ground 0.5 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 0.9 / train/loss/rew 0.1 / train/loss/con 0.1 / train/loss/policy -0.0 / train/loss/value 0.7 / train/loss/repval 1.4 / train/opt/loss 4.6 / train/opt/lr 0.0 / train/opt/grad_scale 16384.0 / train/opt/updates 2032.0 / fps/fps 49.6
[65142] episode/score 0.0 / episode/length 360.0
[65502] episode/score 0.0 / episode/length 360.0
[65862] episode/score 0.0 / episode/length 360.0
[66222] episode/score 0.0 / episode/length 360.0
[66582] episode/score 0.0 / episode/length 360.0
[66942] episode/score 0.0 / episode/length 360.0
[67302] episode/score 0.0 / episode/length 360.0
[67662] episode/score 0.0 / episode/length 360.0
[68022] episode/score 0.0 / episode/length 360.0
[68382] episode/score 0.0 / episode/length 360.0
[68742] episode/score 0.0 / episode/length 360.0
[69102] episode/score 0.0 / episode/length 360.0
[69462] episode/score 0.0 / episode/length 360.0
[69822] episode/score 0.0 / episode/length 360.0
Evaluating the policy...
[70000] episode/eval_score 0.0 / episode/eval_length 360.0
