Logdir logdir\m2fix_exp1_delta_full_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[6637] episode/score 0.9 / episode/length 20.0
[6650] episode/score 1.0 / episode/length 13.0
[6664] episode/score 1.0 / episode/length 14.0
[6675] episode/score 1.0 / episode/length 11.0
[6696] episode/score 0.9 / episode/length 21.0
[6711] episode/score 1.0 / episode/length 15.0
[6723] episode/score 1.0 / episode/length 12.0
[6742] episode/score 1.0 / episode/length 19.0
[6758] episode/score 1.0 / episode/length 16.0
[6773] episode/score 1.0 / episode/length 15.0
[6790] episode/score 1.0 / episode/length 17.0
[6811] episode/score 0.9 / episode/length 21.0
[6829] episode/score 1.0 / episode/length 18.0
[6840] episode/score 1.0 / episode/length 11.0
[6850] episode/score 1.0 / episode/length 10.0
[6861] episode/score 1.0 / episode/length 11.0
[6878] episode/score 1.0 / episode/length 17.0
[6900] episode/score 0.9 / episode/length 22.0
[6912] episode/score 1.0 / episode/length 12.0
[6927] episode/score 1.0 / episode/length 15.0
[6937] episode/score 1.0 / episode/length 10.0
[6958] episode/score 0.9 / episode/length 21.0
[6969] episode/score 1.0 / episode/length 11.0
[6985] episode/score 1.0 / episode/length 16.0
[7004] episode/score 1.0 / episode/length 19.0
[7015] episode/score 1.0 / episode/length 11.0
[7032] episode/score 1.0 / episode/length 17.0
[7042] episode/score 1.0 / episode/length 10.0
[7053] episode/score 1.0 / episode/length 11.0
[7065] episode/score 1.0 / episode/length 12.0
[7076] episode/score 1.0 / episode/length 11.0
[7086] episode/score 1.0 / episode/length 10.0
[7101] episode/score 1.0 / episode/length 15.0
[7119] episode/score 1.0 / episode/length 18.0
[7140] episode/score 0.9 / episode/length 21.0
[7157] episode/score 1.0 / episode/length 17.0
[7178] episode/score 0.9 / episode/length 21.0
[7195] episode/score 1.0 / episode/length 17.0
[7209] episode/score 1.0 / episode/length 14.0
[7221] episode/score 1.0 / episode/length 12.0
[7236] episode/score 1.0 / episode/length 15.0
[7248] episode/score 1.0 / episode/length 12.0
[7263] episode/score 1.0 / episode/length 15.0
[7293] episode/score 0.9 / episode/length 30.0
[7314] episode/score 0.9 / episode/length 21.0
[7329] episode/score 1.0 / episode/length 15.0
[7343] episode/score 1.0 / episode/length 14.0
[7366] episode/score 0.9 / episode/length 23.0
[7383] episode/score 1.0 / episode/length 17.0
[7402] episode/score 1.0 / episode/length 19.0
[7413] episode/score 1.0 / episode/length 11.0
[7432] episode/score 1.0 / episode/length 19.0
[7450] episode/score 1.0 / episode/length 18.0
[7466] episode/score 1.0 / episode/length 16.0
[7479] episode/score 1.0 / episode/length 13.0
[7492] episode/score 1.0 / episode/length 13.0
[7505] episode/score 1.0 / episode/length 13.0
[7521] episode/score 1.0 / episode/length 16.0
[7538] episode/score 1.0 / episode/length 17.0
[7549] episode/score 1.0 / episode/length 11.0
[7561] episode/score 1.0 / episode/length 12.0
[7575] episode/score 1.0 / episode/length 14.0
[7587] episode/score 1.0 / episode/length 12.0
[7601] episode/score 1.0 / episode/length 14.0
[7616] episode/score 1.0 / episode/length 15.0
[7630] episode/score 1.0 / episode/length 14.0
[7645] episode/score 1.0 / episode/length 15.0
[7666] episode/score 0.9 / episode/length 21.0
[7677] episode/score 1.0 / episode/length 11.0
[7693] episode/score 1.0 / episode/length 16.0
[7711] episode/score 1.0 / episode/length 18.0
[7722] episode/score 1.0 / episode/length 11.0
[7739] episode/score 1.0 / episode/length 17.0
[7751] episode/score 1.0 / episode/length 12.0
[7768] episode/score 1.0 / episode/length 17.0
[7791] episode/score 0.9 / episode/length 23.0
[7811] episode/score 0.9 / episode/length 20.0
[7829] episode/score 1.0 / episode/length 18.0
[7844] episode/score 1.0 / episode/length 15.0
[7854] episode/score 1.0 / episode/length 10.0
[7873] episode/score 1.0 / episode/length 19.0
[7886] episode/score 1.0 / episode/length 13.0
[7900] episode/score 1.0 / episode/length 14.0
[7921] episode/score 0.9 / episode/length 21.0
[7935] episode/score 1.0 / episode/length 14.0
[7961] episode/score 0.9 / episode/length 26.0
[7974] episode/score 1.0 / episode/length 13.0
[7994] episode/score 0.9 / episode/length 20.0
[8006] episode/score 1.0 / episode/length 12.0
[8019] episode/score 1.0 / episode/length 13.0
[8034] episode/score 1.0 / episode/length 15.0
[8047] episode/score 1.0 / episode/length 13.0
[8065] episode/score 1.0 / episode/length 18.0
