Logdir logdir\ndnf_dreamer_demo_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,760: rssm
       146,695: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 841193 parameters.
Evaluating the policy...
[3978] episode/score 1.0 / episode/length 13.0
[3990] episode/score 1.0 / episode/length 12.0
[4005] episode/score 1.0 / episode/length 15.0
[4015] episode/score 1.0 / episode/length 10.0
[4027] episode/score 1.0 / episode/length 12.0
[4043] episode/score 1.0 / episode/length 16.0
[4062] episode/score 1.0 / episode/length 19.0
[4087] episode/score 0.9 / episode/length 25.0
[4101] episode/score 1.0 / episode/length 14.0
[4118] episode/score 1.0 / episode/length 17.0
[4131] episode/score 1.0 / episode/length 13.0
[4148] episode/score 1.0 / episode/length 17.0
[4169] episode/score 0.9 / episode/length 21.0
[4186] episode/score 1.0 / episode/length 17.0
[4206] episode/score 0.9 / episode/length 20.0
[4222] episode/score 1.0 / episode/length 16.0
[4236] episode/score 1.0 / episode/length 14.0
[4255] episode/score 1.0 / episode/length 19.0
[4270] episode/score 1.0 / episode/length 15.0
[4284] episode/score 1.0 / episode/length 14.0
[4305] episode/score 0.9 / episode/length 21.0
[4319] episode/score 1.0 / episode/length 14.0
[4329] episode/score 1.0 / episode/length 10.0
[4345] episode/score 1.0 / episode/length 16.0
[4362] episode/score 1.0 / episode/length 17.0
[4373] episode/score 1.0 / episode/length 11.0
[4390] episode/score 1.0 / episode/length 17.0
[4399] episode/score 1.0 / episode/length 9.0
[4411] episode/score 1.0 / episode/length 12.0
[4427] episode/score 1.0 / episode/length 16.0
[4447] episode/score 0.9 / episode/length 20.0
[4460] episode/score 1.0 / episode/length 13.0
[4480] episode/score 0.9 / episode/length 20.0
[4494] episode/score 1.0 / episode/length 14.0
[4510] episode/score 1.0 / episode/length 16.0
[4521] episode/score 1.0 / episode/length 11.0
[4533] episode/score 1.0 / episode/length 12.0
[4554] episode/score 0.9 / episode/length 21.0
[4566] episode/score 1.0 / episode/length 12.0
[4579] episode/score 1.0 / episode/length 13.0
[4592] episode/score 1.0 / episode/length 13.0
[4609] episode/score 1.0 / episode/length 17.0
[4628] episode/score 1.0 / episode/length 19.0
[4646] episode/score 1.0 / episode/length 18.0
[4660] episode/score 1.0 / episode/length 14.0
[4677] episode/score 1.0 / episode/length 17.0
[4694] episode/score 1.0 / episode/length 17.0
[4709] episode/score 1.0 / episode/length 15.0
[4721] episode/score 1.0 / episode/length 12.0
[4736] episode/score 1.0 / episode/length 15.0
[4758] episode/score 0.9 / episode/length 22.0
[4770] episode/score 1.0 / episode/length 12.0
[4783] episode/score 1.0 / episode/length 13.0
[4796] episode/score 1.0 / episode/length 13.0
[4815] episode/score 1.0 / episode/length 19.0
[4829] episode/score 1.0 / episode/length 14.0
[4851] episode/score 0.9 / episode/length 22.0
[4867] episode/score 1.0 / episode/length 16.0
[4882] episode/score 1.0 / episode/length 15.0
[4898] episode/score 1.0 / episode/length 16.0
[4913] episode/score 1.0 / episode/length 15.0
[4926] episode/score 1.0 / episode/length 13.0
[4937] episode/score 1.0 / episode/length 11.0
[4956] episode/score 1.0 / episode/length 19.0
[4975] episode/score 1.0 / episode/length 19.0
[4992] episode/score 1.0 / episode/length 17.0
[5011] episode/score 1.0 / episode/length 19.0
[5025] episode/score 1.0 / episode/length 14.0
[5050] episode/score 0.9 / episode/length 25.0
[5064] episode/score 1.0 / episode/length 14.0
[5066] train/ndnf_delta 0.1 / train/dyn_entropy 9.0 / train/rep_entropy 9.9 / train/ret 0.0 / train/ret_005 0.0 / train/ret_095 0.0 / train/adv 0.0 / train/adv_std 0.0 / train/con 0.6 / train/rew 0.0 / train/val 0.0 / train/tar 0.0 / train/slowval 0.0 / train/weight 0.1 / train/action_entropy 1.9 / train/action_mean 0.1 / train/action_std 0.3 / train/action_min 0.0 / train/action_max 1.0 / train/ret_replay_mean 0.6 / train/ret_replay_std 0.3 / train/ret_replay_min 0.0 / train/ret_replay_max 1.0 / train/value_replay_mean 0.0 / train/value_replay_std 0.0 / train/value_replay_min 0.0 / train/value_replay_max 0.0 / train/slow_value_replay_mean 0.0 / train/slow_value_replay_std 0.0 / train/slow_value_replay_min 0.0 / train/slow_value_replay_max 0.0 / train/loss/dyn 1.1 / train/loss/rep 1.1 / train/loss/ground 0.6 / train/loss/ndnf_aux 0.5 / train/loss/symbolic 36.0 / train/loss/rew 5.4 / train/loss/con 0.7 / train/loss/policy -0.0 / train/loss/value 0.8 / train/loss/repval 10.0 / train/opt/loss 47.8 / train/opt/lr 0.0 / train/opt/grad_scale 4096.0 / train/opt/updates 157.0 / fps/fps 44.0
[5075] episode/score 1.0 / episode/length 11.0
[5084] episode/score 1.0 / episode/length 9.0
[5101] episode/score 1.0 / episode/length 17.0
[5116] episode/score 1.0 / episode/length 15.0
[5129] episode/score 1.0 / episode/length 13.0
[5147] episode/score 1.0 / episode/length 18.0
[5161] episode/score 1.0 / episode/length 14.0
[5179] episode/score 1.0 / episode/length 18.0
[5193] episode/score 1.0 / episode/length 14.0
